1¬Able Seamen
2¬Accountants
3¬Accountants and Auditors
4¬Actors
5¬Actuaries
6¬Acupuncturists
7¬Acute Care Nurses
8¬Adapted Physical Education Specialists
9¬Adjustment Clerks
10¬Administrative Law Judges, Adjudicators, and Hearing Officers
11¬Administrative Services Managers
12¬Adult Literacy, Remedial Education, and GED Teachers and Instructors
13¬Advanced Practice Psychiatric Nurses
14¬Advertising and Promotions Managers
15¬Advertising Sales Agents
16¬Aerospace Engineering and Operations Technicians
17¬Aerospace Engineers
18¬Agents and Business Managers of Artists, Performers, and Athletes
19¬Agricultural and Food Science Technicians
20¬Agricultural Crop Farm Managers
21¬Agricultural Engineers
22¬Agricultural Equipment Operators
23¬Agricultural Inspectors
24¬Agricultural Sciences Teachers, Postsecondary
25¬Agricultural Technicians
26¬Agricultural Workers, All Other
27¬Air Crew Members
28¬Air Crew Officers
29¬Air Traffic Controllers
30¬Aircraft Body and Bonded Structure Repairers
31¬Aircraft Cargo Handling Supervisors
32¬Aircraft Engine Specialists
33¬Aircraft Launch and Recovery Officers
34¬Aircraft Launch and Recovery Specialists
35¬Aircraft Mechanics and Service Technicians
36¬Aircraft Rigging Assemblers
37¬Aircraft Structure Assemblers, Precision
38¬Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
39¬Aircraft Systems Assemblers, Precision
40¬Airfield Operations Specialists
41¬Airframe-and-Power-Plant Mechanics
42¬Airline Pilots, Copilots, and Flight Engineers
43¬Allergists and Immunologists
44¬Ambulance Drivers and Attendants, Except Emergency Medical Technicians
45¬Amusement and Recreation Attendants
46¬Anesthesiologist Assistants
47¬Anesthesiologists
48¬Animal Breeders
49¬Animal Control Workers
50¬Animal Scientists
51¬Animal Trainers
52¬Anthropologists
53¬Anthropologists and Archeologists
54¬Anthropology and Archeology Teachers, Postsecondary
55¬Appraisers and Assessors of Real Estate
56¬Appraisers, Real Estate
57¬Aquacultural Managers
58¬Arbitrators, Mediators, and Conciliators
59¬Archeologists
60¬Architects, Except Landscape and Naval
61¬Architectural and Civil Drafters
62¬Architectural Drafters
63¬Architecture Teachers, Postsecondary
64¬Archivists
65¬Area, Ethnic, and Cultural Studies Teachers, Postsecondary
66¬Armored Assault Vehicle Crew Members
67¬Armored Assault Vehicle Officers
68¬Art Directors
69¬Art Therapists
70¬Art, Drama, and Music Teachers, Postsecondary
71¬Artillery and Missile Crew Members
72¬Artillery and Missile Officers
73¬Artists and Related Workers, All Other
74¬Assemblers and Fabricators, All Other
75¬Assessors
76¬Astronomers
77¬Athletes and Sports Competitors
78¬Athletic Trainers
79¬Atmospheric and Space Scientists
80¬Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary
81¬Audio and Video Equipment Technicians
82¬Audiologist
83¬Audiologists
84¬Audio-Visual Collections Specialists
85¬Auditors
86¬Automatic Teller Machine Servicers
87¬Automotive Body and Related Repairers
88¬Automotive Engineering Technicians
89¬Automotive Engineers
90¬Automotive Glass Installers and Repairers
91¬Automotive Master Mechanics
92¬Automotive Service Technicians and Mechanics
93¬Automotive Specialty Technicians
94¬Auxiliary Equipment Operators, Power
95¬Aviation Inspectors
96¬Avionics Technicians
97¬Baggage Porters and Bellhops
98¬Bailiffs
99¬Bakers
100¬Bakers, Bread and Pastry
101¬Bakers, Manufacturing
102¬Barbers
103¬Baristas
104¬Bartenders
105¬Battery Repairers
106¬Bench Workers, Jewelry
107¬Bicycle Repairers
108¬Bill and Account Collectors
109¬Billing and Posting Clerks and Machine Operators
110¬Billing, Cost, and Rate Clerks
111¬Billing, Posting, and Calculating Machine Operators
112¬Bindery Machine Operators and Tenders
113¬Bindery Machine Setters and Set-Up Operators
114¬Bindery Workers
115¬Biochemical Engineers
116¬Biochemists
117¬Biochemists and Biophysicists
118¬Biofuels Processing Technicians
119¬Biofuels Production Managers
120¬Biofuels/Biodiesel Technology and Product Development Managers
